[2026-04-04 15:34:39] START 05_train_droid_curated
[train-sharded:train] 1/1197 shards | elapsed 01:00 | rate 0.02/shard/s | remaining 20:00:40 | epoch=1/1 shard=droid_train_0000.hdf5 samples=9450
[train-sharded:train] 475/1197 shards | elapsed 08:22:19 | rate 0.02/shard/s | remaining 12:43:31 | epoch=1/1 shard=droid_train_0474.hdf5 samples=9145
[train-sharded:train] 476/1197 shards | elapsed 08:23:29 | rate 0.02/shard/s | remaining 12:42:38 | epoch=1/1 shard=droid_train_0475.hdf5 samples=9898
[train-sharded:train] 477/1197 shards | elapsed 08:24:33 | rate 0.02/shard/s | remaining 12:41:35 | epoch=1/1 shard=droid_train_0476.hdf5 samples=9293
[train-sharded:train] 478/1197 shards | elapsed 08:25:29 | rate 0.02/shard/s | remaining 12:40:20 | epoch=1/1 shard=droid_train_0477.hdf5 samples=8583
[train-sharded:train] 479/1197 shards | elapsed 08:26:36 | rate 0.02/shard/s | remaining 12:39:22 | epoch=1/1 shard=droid_train_0478.hdf5 samples=9316
[train-sharded:train] 480/1197 shards | elapsed 08:27:55 | rate 0.02/shard/s | remaining 12:38:42 | epoch=1/1 shard=droid_train_0479.hdf5 samples=10523
[train-sharded:train] 481/1197 shards | elapsed 08:28:49 | rate 0.02/shard/s | remaining 12:37:25 | epoch=1/1 shard=droid_train_0480.hdf5 samples=8507
[train-sharded:train] 482/1197 shards | elapsed 08:29:58 | rate 0.02/shard/s | remaining 12:36:29 | epoch=1/1 shard=droid_train_0481.hdf5 samples=9191
[train-sharded:train] 483/1197 shards | elapsed 08:31:28 | rate 0.02/shard/s | remaining 12:36:04 | epoch=1/1 shard=droid_train_0482.hdf5 samples=10456
[train-sharded:train] 484/1197 shards | elapsed 08:32:34 | rate 0.02/shard/s | remaining 12:35:06 | epoch=1/1 shard=droid_train_0483.hdf5 samples=9675
[train-sharded:train] 485/1197 shards | elapsed 08:33:50 | rate 0.02/shard/s | remaining 12:34:20 | epoch=1/1 shard=droid_train_0484.hdf5 samples=10522
[train-sharded:train] 486/1197 shards | elapsed 08:35:00 | rate 0.02/shard/s | remaining 12:33:25 | epoch=1/1 shard=droid_train_0485.hdf5 samples=9723
[train-sharded:train] 487/1197 shards | elapsed 08:35:54 | rate 0.02/shard/s | remaining 12:32:08 | epoch=1/1 shard=droid_train_0486.hdf5 samples=8569
[train-sharded:train] 488/1197 shards | elapsed 08:36:56 | rate 0.02/shard/s | remaining 12:31:02 | epoch=1/1 shard=droid_train_0487.hdf5 samples=9270
[train-sharded:train] 489/1197 shards | elapsed 08:37:54 | rate 0.02/shard/s | remaining 12:29:51 | epoch=1/1 shard=droid_train_0488.hdf5 samples=8755
[train-sharded:train] 490/1197 shards | elapsed 08:38:45 | rate 0.02/shard/s | remaining 12:28:29 | epoch=1/1 shard=droid_train_0489.hdf5 samples=8140
[train-sharded:train] 491/1197 shards | elapsed 08:40:00 | rate 0.02/shard/s | remaining 12:27:41 | epoch=1/1 shard=droid_train_0490.hdf5 samples=10474
[train-sharded:train] 492/1197 shards | elapsed 08:41:05 | rate 0.02/shard/s | remaining 12:26:40 | epoch=1/1 shard=droid_train_0491.hdf5 samples=9421
[train-sharded:train] 493/1197 shards | elapsed 08:42:14 | rate 0.02/shard/s | remaining 12:25:45 | epoch=1/1 shard=droid_train_0492.hdf5 samples=9931
[train-sharded:train] 494/1197 shards | elapsed 08:43:19 | rate 0.02/shard/s | remaining 12:24:43 | epoch=1/1 shard=droid_train_0493.hdf5 samples=9594
[train-sharded:train] 495/1197 shards | elapsed 08:44:36 | rate 0.02/shard/s | remaining 12:23:59 | epoch=1/1 shard=droid_train_0494.hdf5 samples=10784
[train-sharded:train] 496/1197 shards | elapsed 08:45:49 | rate 0.02/shard/s | remaining 12:23:08 | epoch=1/1 shard=droid_train_0495.hdf5 samples=10058
[train-sharded:train] 497/1197 shards | elapsed 08:46:54 | rate 0.02/shard/s | remaining 12:22:07 | epoch=1/1 shard=droid_train_0496.hdf5 samples=9250
[train-sharded:train] 498/1197 shards | elapsed 08:48:24 | rate 0.02/shard/s | remaining 12:21:40 | epoch=1/1 shard=droid_train_0497.hdf5 samples=11160
[train-sharded:train] 499/1197 shards | elapsed 08:49:27 | rate 0.02/shard/s | remaining 12:20:36 | epoch=1/1 shard=droid_train_0498.hdf5 samples=9550
[train-sharded:train] 500/1197 shards | elapsed 08:50:41 | rate 0.02/shard/s | remaining 12:19:46 | epoch=1/1 shard=droid_train_0499.hdf5 samples=10241
[train-sharded:train] 501/1197 shards | elapsed 08:51:33 | rate 0.02/shard/s | remaining 12:18:26 | epoch=1/1 shard=droid_train_0500.hdf5 samples=8425
[train-sharded:train] 502/1197 shards | elapsed 08:52:11 | rate 0.02/shard/s | remaining 12:16:48 | epoch=1/1 shard=droid_train_0501.hdf5 samples=6964
[train-sharded:train] 503/1197 shards | elapsed 08:52:57 | rate 0.02/shard/s | remaining 12:15:19 | epoch=1/1 shard=droid_train_0502.hdf5 samples=7617
[train-sharded:train] 504/1197 shards | elapsed 08:54:01 | rate 0.02/shard/s | remaining 12:14:16 | epoch=1/1 shard=droid_train_0503.hdf5 samples=9330
[train-sharded:train] 505/1197 shards | elapsed 08:54:49 | rate 0.02/shard/s | remaining 12:12:51 | epoch=1/1 shard=droid_train_0504.hdf5 samples=7856
[train-sharded:train] 506/1197 shards | elapsed 08:55:54 | rate 0.02/shard/s | remaining 12:11:49 | epoch=1/1 shard=droid_train_0505.hdf5 samples=9290
[train-sharded:train] 507/1197 shards | elapsed 08:57:13 | rate 0.02/shard/s | remaining 12:11:07 | epoch=1/1 shard=droid_train_0506.hdf5 samples=10676
[train-sharded:train] 508/1197 shards | elapsed 08:58:33 | rate 0.02/shard/s | remaining 12:10:26 | epoch=1/1 shard=droid_train_0507.hdf5 samples=10539
[train-sharded:train] 509/1197 shards | elapsed 08:59:39 | rate 0.02/shard/s | remaining 12:09:26 | epoch=1/1 shard=droid_train_0508.hdf5 samples=9598
[train-sharded:train] 510/1197 shards | elapsed 09:00:38 | rate 0.02/shard/s | remaining 12:08:16 | epoch=1/1 shard=droid_train_0509.hdf5 samples=9102
[train-sharded:train] 511/1197 shards | elapsed 09:01:33 | rate 0.02/shard/s | remaining 12:07:01 | epoch=1/1 shard=droid_train_0510.hdf5 samples=8611
[train-sharded:train] 512/1197 shards | elapsed 09:02:42 | rate 0.02/shard/s | remaining 12:06:05 | epoch=1/1 shard=droid_train_0511.hdf5 samples=9768
[train-sharded:train] 513/1197 shards | elapsed 09:03:39 | rate 0.02/shard/s | remaining 12:04:51 | epoch=1/1 shard=droid_train_0512.hdf5 samples=8762
[train-sharded:train] 514/1197 shards | elapsed 09:04:34 | rate 0.02/shard/s | remaining 12:03:37 | epoch=1/1 shard=droid_train_0513.hdf5 samples=8808
[train-sharded:train] 515/1197 shards | elapsed 09:05:42 | rate 0.02/shard/s | remaining 12:02:39 | epoch=1/1 shard=droid_train_0514.hdf5 samples=9504
[train-sharded:train] 516/1197 shards | elapsed 09:06:42 | rate 0.02/shard/s | remaining 12:01:32 | epoch=1/1 shard=droid_train_0515.hdf5 samples=8756
[train-sharded:train] 517/1197 shards | elapsed 09:07:57 | rate 0.02/shard/s | remaining 12:00:42 | epoch=1/1 shard=droid_train_0516.hdf5 samples=10394
[train-sharded:train] 518/1197 shards | elapsed 09:09:02 | rate 0.02/shard/s | remaining 11:59:41 | epoch=1/1 shard=droid_train_0517.hdf5 samples=9474
[train-sharded:train] 519/1197 shards | elapsed 09:10:05 | rate 0.02/shard/s | remaining 11:58:36 | epoch=1/1 shard=droid_train_0518.hdf5 samples=9339
[train-sharded:train] 520/1197 shards | elapsed 09:11:18 | rate 0.02/shard/s | remaining 11:57:44 | epoch=1/1 shard=droid_train_0519.hdf5 samples=10279
[train-sharded:train] 521/1197 shards | elapsed 09:12:14 | rate 0.02/shard/s | remaining 11:56:32 | epoch=1/1 shard=droid_train_0520.hdf5 samples=8640
[train-sharded:train] 522/1197 shards | elapsed 09:13:04 | rate 0.02/shard/s | remaining 11:55:10 | epoch=1/1 shard=droid_train_0521.hdf5 samples=7926
[train-sharded:train] 523/1197 shards | elapsed 09:14:06 | rate 0.02/shard/s | remaining 11:54:04 | epoch=1/1 shard=droid_train_0522.hdf5 samples=9143
[train-sharded:train] 524/1197 shards | elapsed 09:15:12 | rate 0.02/shard/s | remaining 11:53:05 | epoch=1/1 shard=droid_train_0523.hdf5 samples=9533
[train-sharded:train] 525/1197 shards | elapsed 09:16:21 | rate 0.02/shard/s | remaining 11:52:08 | epoch=1/1 shard=droid_train_0524.hdf5 samples=9719
[train-sharded:train] 526/1197 shards | elapsed 09:17:28 | rate 0.02/shard/s | remaining 11:51:09 | epoch=1/1 shard=droid_train_0525.hdf5 samples=9739
[train-sharded:train] 527/1197 shards | elapsed 09:18:28 | rate 0.02/shard/s | remaining 11:50:00 | epoch=1/1 shard=droid_train_0526.hdf5 samples=8790
[train-sharded:train] 528/1197 shards | elapsed 09:19:24 | rate 0.02/shard/s | remaining 11:48:46 | epoch=1/1 shard=droid_train_0527.hdf5 samples=8786
[train-sharded:train] 529/1197 shards | elapsed 09:20:28 | rate 0.02/shard/s | remaining 11:47:44 | epoch=1/1 shard=droid_train_0528.hdf5 samples=9325
[train-sharded:train] 530/1197 shards | elapsed 09:21:28 | rate 0.02/shard/s | remaining 11:46:35 | epoch=1/1 shard=droid_train_0529.hdf5 samples=9367
[train-sharded:train] 531/1197 shards | elapsed 09:22:38 | rate 0.02/shard/s | remaining 11:45:40 | epoch=1/1 shard=droid_train_0530.hdf5 samples=10120
[train-sharded:train] 532/1197 shards | elapsed 09:23:30 | rate 0.02/shard/s | remaining 11:44:22 | epoch=1/1 shard=droid_train_0531.hdf5 samples=8259
[train-sharded:train] 533/1197 shards | elapsed 09:24:29 | rate 0.02/shard/s | remaining 11:43:14 | epoch=1/1 shard=droid_train_0532.hdf5 samples=8644
[train-sharded:train] 534/1197 shards | elapsed 09:25:24 | rate 0.02/shard/s | remaining 11:41:59 | epoch=1/1 shard=droid_train_0533.hdf5 samples=8880
[train-sharded:train] 535/1197 shards | elapsed 09:26:33 | rate 0.02/shard/s | remaining 11:41:02 | epoch=1/1 shard=droid_train_0534.hdf5 samples=9811
[train-sharded:train] 536/1197 shards | elapsed 09:27:24 | rate 0.02/shard/s | remaining 11:39:44 | epoch=1/1 shard=droid_train_0535.hdf5 samples=8065
[train-sharded:train] 537/1197 shards | elapsed 09:28:23 | rate 0.02/shard/s | remaining 11:38:34 | epoch=1/1 shard=droid_train_0536.hdf5 samples=9078
[train-sharded:train] 538/1197 shards | elapsed 09:29:25 | rate 0.02/shard/s | remaining 11:37:29 | epoch=1/1 shard=droid_train_0537.hdf5 samples=9373
[train-sharded:train] 539/1197 shards | elapsed 09:30:13 | rate 0.02/shard/s | remaining 11:36:06 | epoch=1/1 shard=droid_train_0538.hdf5 samples=7926
[train-sharded:train] 540/1197 shards | elapsed 09:31:02 | rate 0.02/shard/s | remaining 11:34:45 | epoch=1/1 shard=droid_train_0539.hdf5 samples=8070
[train-sharded:train] 541/1197 shards | elapsed 09:32:08 | rate 0.02/shard/s | remaining 11:33:45 | epoch=1/1 shard=droid_train_0540.hdf5 samples=9393
[train-sharded:train] 542/1197 shards | elapsed 09:33:14 | rate 0.02/shard/s | remaining 11:32:44 | epoch=1/1 shard=droid_train_0541.hdf5 samples=9749
[train-sharded:train] 543/1197 shards | elapsed 09:34:04 | rate 0.02/shard/s | remaining 11:31:25 | epoch=1/1 shard=droid_train_0542.hdf5 samples=7910
[train-sharded:train] 544/1197 shards | elapsed 09:34:54 | rate 0.02/shard/s | remaining 11:30:06 | epoch=1/1 shard=droid_train_0543.hdf5 samples=7988
[train-sharded:train] 545/1197 shards | elapsed 09:35:58 | rate 0.02/shard/s | remaining 11:29:03 | epoch=1/1 shard=droid_train_0544.hdf5 samples=9011
[train-sharded:train] 546/1197 shards | elapsed 09:37:28 | rate 0.02/shard/s | remaining 11:28:31 | epoch=1/1 shard=droid_train_0545.hdf5 samples=10920
[train-sharded:train] 547/1197 shards | elapsed 09:38:36 | rate 0.02/shard/s | remaining 11:27:32 | epoch=1/1 shard=droid_train_0546.hdf5 samples=9416
[train-sharded:train] 548/1197 shards | elapsed 09:39:34 | rate 0.02/shard/s | remaining 11:26:23 | epoch=1/1 shard=droid_train_0547.hdf5 samples=8830
[train-sharded:train] 549/1197 shards | elapsed 09:40:34 | rate 0.02/shard/s | remaining 11:25:16 | epoch=1/1 shard=droid_train_0548.hdf5 samples=9212
[train-sharded:train] 550/1197 shards | elapsed 09:41:31 | rate 0.02/shard/s | remaining 11:24:04 | epoch=1/1 shard=droid_train_0549.hdf5 samples=8762
[train-sharded:train] 551/1197 shards | elapsed 09:42:39 | rate 0.02/shard/s | remaining 11:23:06 | epoch=1/1 shard=droid_train_0550.hdf5 samples=9701
[train-sharded:train] 552/1197 shards | elapsed 09:44:04 | rate 0.02/shard/s | remaining 11:22:28 | epoch=1/1 shard=droid_train_0551.hdf5 samples=11287
[train-sharded:train] 553/1197 shards | elapsed 09:45:05 | rate 0.02/shard/s | remaining 11:21:22 | epoch=1/1 shard=droid_train_0552.hdf5 samples=8786
[train-sharded:train] 554/1197 shards | elapsed 09:46:13 | rate 0.02/shard/s | remaining 11:20:23 | epoch=1/1 shard=droid_train_0553.hdf5 samples=9597
[train-sharded:train] 555/1197 shards | elapsed 09:47:11 | rate 0.02/shard/s | remaining 11:19:14 | epoch=1/1 shard=droid_train_0554.hdf5 samples=9002
[train-sharded:train] 556/1197 shards | elapsed 09:48:19 | rate 0.02/shard/s | remaining 11:18:16 | epoch=1/1 shard=droid_train_0555.hdf5 samples=9753
[train-sharded:train] 557/1197 shards | elapsed 09:49:17 | rate 0.02/shard/s | remaining 11:17:06 | epoch=1/1 shard=droid_train_0556.hdf5 samples=8901
[train-sharded:train] 558/1197 shards | elapsed 09:50:15 | rate 0.02/shard/s | remaining 11:15:56 | epoch=1/1 shard=droid_train_0557.hdf5 samples=8614
[train-sharded:train] 559/1197 shards | elapsed 09:51:24 | rate 0.02/shard/s | remaining 11:14:59 | epoch=1/1 shard=droid_train_0558.hdf5 samples=9556
[train-sharded:train] 560/1197 shards | elapsed 09:52:21 | rate 0.02/shard/s | remaining 11:13:48 | epoch=1/1 shard=droid_train_0559.hdf5 samples=8593
[train-sharded:train] 561/1197 shards | elapsed 09:53:26 | rate 0.02/shard/s | remaining 11:12:46 | epoch=1/1 shard=droid_train_0560.hdf5 samples=9704
[train-sharded:train] 562/1197 shards | elapsed 09:54:25 | rate 0.02/shard/s | remaining 11:11:38 | epoch=1/1 shard=droid_train_0561.hdf5 samples=9106
[train-sharded:train] 563/1197 shards | elapsed 09:55:22 | rate 0.02/shard/s | remaining 11:10:27 | epoch=1/1 shard=droid_train_0562.hdf5 samples=8958
[train-sharded:train] 564/1197 shards | elapsed 09:56:37 | rate 0.02/shard/s | remaining 11:09:37 | epoch=1/1 shard=droid_train_0563.hdf5 samples=9930
[train-sharded:train] 565/1197 shards | elapsed 09:57:31 | rate 0.02/shard/s | remaining 11:08:23 | epoch=1/1 shard=droid_train_0564.hdf5 samples=8449
[train-sharded:train] 566/1197 shards | elapsed 09:58:37 | rate 0.02/shard/s | remaining 11:07:22 | epoch=1/1 shard=droid_train_0565.hdf5 samples=9771
[train-sharded:train] 567/1197 shards | elapsed 09:59:37 | rate 0.02/shard/s | remaining 11:06:15 | epoch=1/1 shard=droid_train_0566.hdf5 samples=9226
[train-sharded:train] 568/1197 shards | elapsed 10:00:18 | rate 0.02/shard/s | remaining 11:04:46 | epoch=1/1 shard=droid_train_0567.hdf5 samples=7038
[train-sharded:train] 569/1197 shards | elapsed 10:01:18 | rate 0.02/shard/s | remaining 11:03:39 | epoch=1/1 shard=droid_train_0568.hdf5 samples=8801
[train-sharded:train] 570/1197 shards | elapsed 10:02:16 | rate 0.02/shard/s | remaining 11:02:29 | epoch=1/1 shard=droid_train_0569.hdf5 samples=8780
[train-sharded:train] 571/1197 shards | elapsed 10:03:43 | rate 0.02/shard/s | remaining 11:01:52 | epoch=1/1 shard=droid_train_0570.hdf5 samples=10907
[train-sharded:train] 572/1197 shards | elapsed 10:04:49 | rate 0.02/shard/s | remaining 11:00:51 | epoch=1/1 shard=droid_train_0571.hdf5 samples=9777
[train-sharded:train] 573/1197 shards | elapsed 10:05:40 | rate 0.02/shard/s | remaining 10:59:35 | epoch=1/1 shard=droid_train_0572.hdf5 samples=8045
[train-sharded:train] 574/1197 shards | elapsed 10:06:48 | rate 0.02/shard/s | remaining 10:58:36 | epoch=1/1 shard=droid_train_0573.hdf5 samples=9971
[train-sharded:train] 575/1197 shards | elapsed 10:07:54 | rate 0.02/shard/s | remaining 10:57:36 | epoch=1/1 shard=droid_train_0574.hdf5 samples=9585
[train-sharded:train] 576/1197 shards | elapsed 10:09:15 | rate 0.02/shard/s | remaining 10:56:50 | epoch=1/1 shard=droid_train_0575.hdf5 samples=10806
[train-sharded:train] 577/1197 shards | elapsed 10:10:15 | rate 0.02/shard/s | remaining 10:55:44 | epoch=1/1 shard=droid_train_0576.hdf5 samples=9083
[train-sharded:train] 578/1197 shards | elapsed 10:11:22 | rate 0.02/shard/s | remaining 10:54:44 | epoch=1/1 shard=droid_train_0577.hdf5 samples=9444
[train-sharded:train] 579/1197 shards | elapsed 10:12:47 | rate 0.02/shard/s | remaining 10:54:03 | epoch=1/1 shard=droid_train_0578.hdf5 samples=11117
[train-sharded:train] 580/1197 shards | elapsed 10:13:24 | rate 0.02/shard/s | remaining 10:52:32 | epoch=1/1 shard=droid_train_0579.hdf5 samples=6712
[train-sharded:train] 581/1197 shards | elapsed 10:14:24 | rate 0.02/shard/s | remaining 10:51:24 | epoch=1/1 shard=droid_train_0580.hdf5 samples=9047
[train-sharded:train] 582/1197 shards | elapsed 10:15:26 | rate 0.02/shard/s | remaining 10:50:19 | epoch=1/1 shard=droid_train_0581.hdf5 samples=9304
[train-sharded:train] 583/1197 shards | elapsed 10:16:46 | rate 0.02/shard/s | remaining 10:49:33 | epoch=1/1 shard=droid_train_0582.hdf5 samples=10898
[train-sharded:train] 584/1197 shards | elapsed 10:17:57 | rate 0.02/shard/s | remaining 10:48:38 | epoch=1/1 shard=droid_train_0583.hdf5 samples=10039
[train-sharded:train] 585/1197 shards | elapsed 10:19:08 | rate 0.02/shard/s | remaining 10:47:43 | epoch=1/1 shard=droid_train_0584.hdf5 samples=10397
[train-sharded:train] 586/1197 shards | elapsed 10:20:28 | rate 0.02/shard/s | remaining 10:46:57 | epoch=1/1 shard=droid_train_0585.hdf5 samples=10297
[train-sharded:train] 587/1197 shards | elapsed 10:21:45 | rate 0.02/shard/s | remaining 10:46:07 | epoch=1/1 shard=droid_train_0586.hdf5 samples=10333
[train-sharded:train] 588/1197 shards | elapsed 10:22:43 | rate 0.02/shard/s | remaining 10:44:57 | epoch=1/1 shard=droid_train_0587.hdf5 samples=8569
[train-sharded:train] 589/1197 shards | elapsed 10:23:47 | rate 0.02/shard/s | remaining 10:43:55 | epoch=1/1 shard=droid_train_0588.hdf5 samples=9315
[train-sharded:train] 590/1197 shards | elapsed 10:25:06 | rate 0.02/shard/s | remaining 10:43:07 | epoch=1/1 shard=droid_train_0589.hdf5 samples=10076
[train-sharded:train] 591/1197 shards | elapsed 10:26:08 | rate 0.02/shard/s | remaining 10:42:01 | epoch=1/1 shard=droid_train_0590.hdf5 samples=8807
[train-sharded:train] 592/1197 shards | elapsed 10:27:11 | rate 0.02/shard/s | remaining 10:40:57 | epoch=1/1 shard=droid_train_0591.hdf5 samples=9562
[train-sharded:train] 593/1197 shards | elapsed 10:28:07 | rate 0.02/shard/s | remaining 10:39:46 | epoch=1/1 shard=droid_train_0592.hdf5 samples=8332
[train-sharded:train] 594/1197 shards | elapsed 10:29:11 | rate 0.02/shard/s | remaining 10:38:43 | epoch=1/1 shard=droid_train_0593.hdf5 samples=9852
[train-sharded:train] 595/1197 shards | elapsed 10:30:20 | rate 0.02/shard/s | remaining 10:37:45 | epoch=1/1 shard=droid_train_0594.hdf5 samples=9774
[train-sharded:train] 596/1197 shards | elapsed 10:31:30 | rate 0.02/shard/s | remaining 10:36:48 | epoch=1/1 shard=droid_train_0595.hdf5 samples=9836
[train-sharded:train] 597/1197 shards | elapsed 10:32:56 | rate 0.02/shard/s | remaining 10:36:07 | epoch=1/1 shard=droid_train_0596.hdf5 samples=10919
[train-sharded:train] 598/1197 shards | elapsed 10:33:53 | rate 0.02/shard/s | remaining 10:34:57 | epoch=1/1 shard=droid_train_0597.hdf5 samples=9101
[train-sharded:train] 599/1197 shards | elapsed 10:34:56 | rate 0.02/shard/s | remaining 10:33:52 | epoch=1/1 shard=droid_train_0598.hdf5 samples=9291
[train-sharded:train] 600/1197 shards | elapsed 10:36:17 | rate 0.02/shard/s | remaining 10:33:07 | epoch=1/1 shard=droid_train_0599.hdf5 samples=10982
[train-sharded:train] 601/1197 shards | elapsed 10:37:22 | rate 0.02/shard/s | remaining 10:32:04 | epoch=1/1 shard=droid_train_0600.hdf5 samples=9566
[train-sharded:train] 602/1197 shards | elapsed 10:38:22 | rate 0.02/shard/s | remaining 10:30:57 | epoch=1/1 shard=droid_train_0601.hdf5 samples=8680
[train-sharded:train] 603/1197 shards | elapsed 10:39:25 | rate 0.02/shard/s | remaining 10:29:53 | epoch=1/1 shard=droid_train_0602.hdf5 samples=9307
[train-sharded:train] 604/1197 shards | elapsed 10:40:32 | rate 0.02/shard/s | remaining 10:28:52 | epoch=1/1 shard=droid_train_0603.hdf5 samples=9497
[train-sharded:train] 605/1197 shards | elapsed 10:41:26 | rate 0.02/shard/s | remaining 10:27:39 | epoch=1/1 shard=droid_train_0604.hdf5 samples=8560
[train-sharded:train] 606/1197 shards | elapsed 10:42:40 | rate 0.02/shard/s | remaining 10:26:46 | epoch=1/1 shard=droid_train_0605.hdf5 samples=10416
[train-sharded:train] 607/1197 shards | elapsed 10:43:47 | rate 0.02/shard/s | remaining 10:25:45 | epoch=1/1 shard=droid_train_0606.hdf5 samples=9327
[train-sharded:train] 608/1197 shards | elapsed 10:44:58 | rate 0.02/shard/s | remaining 10:24:49 | epoch=1/1 shard=droid_train_0607.hdf5 samples=10284
[train-sharded:train] 609/1197 shards | elapsed 10:45:56 | rate 0.02/shard/s | remaining 10:23:39 | epoch=1/1 shard=droid_train_0608.hdf5 samples=8890
[train-sharded:train] 610/1197 shards | elapsed 10:46:51 | rate 0.02/shard/s | remaining 10:22:28 | epoch=1/1 shard=droid_train_0609.hdf5 samples=8720
[train-sharded:train] 611/1197 shards | elapsed 10:48:06 | rate 0.02/shard/s | remaining 10:21:35 | epoch=1/1 shard=droid_train_0610.hdf5 samples=10216
[train-sharded:train] 612/1197 shards | elapsed 10:49:04 | rate 0.02/shard/s | remaining 10:20:26 | epoch=1/1 shard=droid_train_0611.hdf5 samples=8710
[train-sharded:train] 613/1197 shards | elapsed 10:50:06 | rate 0.02/shard/s | remaining 10:19:21 | epoch=1/1 shard=droid_train_0612.hdf5 samples=9317
[train-sharded:train] 614/1197 shards | elapsed 10:51:06 | rate 0.02/shard/s | remaining 10:18:14 | epoch=1/1 shard=droid_train_0613.hdf5 samples=8989
[train-sharded:train] 615/1197 shards | elapsed 10:52:00 | rate 0.02/shard/s | remaining 10:17:00 | epoch=1/1 shard=droid_train_0614.hdf5 samples=8428
[train-sharded:train] 616/1197 shards | elapsed 10:53:06 | rate 0.02/shard/s | remaining 10:15:59 | epoch=1/1 shard=droid_train_0615.hdf5 samples=9594
[train-sharded:train] 617/1197 shards | elapsed 10:54:06 | rate 0.02/shard/s | remaining 10:14:53 | epoch=1/1 shard=droid_train_0616.hdf5 samples=9219
[train-sharded:train] 618/1197 shards | elapsed 10:55:03 | rate 0.02/shard/s | remaining 10:13:43 | epoch=1/1 shard=droid_train_0617.hdf5 samples=8729
[train-sharded:train] 619/1197 shards | elapsed 10:56:00 | rate 0.02/shard/s | remaining 10:12:33 | epoch=1/1 shard=droid_train_0618.hdf5 samples=8880
[train-sharded:train] 620/1197 shards | elapsed 10:57:09 | rate 0.02/shard/s | remaining 10:11:35 | epoch=1/1 shard=droid_train_0619.hdf5 samples=9583
[train-sharded:train] 621/1197 shards | elapsed 10:58:06 | rate 0.02/shard/s | remaining 10:10:25 | epoch=1/1 shard=droid_train_0620.hdf5 samples=8503
[train-sharded:train] 622/1197 shards | elapsed 10:58:55 | rate 0.02/shard/s | remaining 10:09:08 | epoch=1/1 shard=droid_train_0621.hdf5 samples=7979
[train-sharded:train] 623/1197 shards | elapsed 11:00:04 | rate 0.02/shard/s | remaining 10:08:09 | epoch=1/1 shard=droid_train_0622.hdf5 samples=9944
[train-sharded:train] 624/1197 shards | elapsed 11:01:13 | rate 0.02/shard/s | remaining 10:07:11 | epoch=1/1 shard=droid_train_0623.hdf5 samples=9393
[train-sharded:train] 625/1197 shards | elapsed 11:02:14 | rate 0.02/shard/s | remaining 10:06:05 | epoch=1/1 shard=droid_train_0624.hdf5 samples=9137
[train-sharded:train] 626/1197 shards | elapsed 11:03:26 | rate 0.02/shard/s | remaining 10:05:09 | epoch=1/1 shard=droid_train_0625.hdf5 samples=10303
[train-sharded:train] 627/1197 shards | elapsed 11:04:28 | rate 0.02/shard/s | remaining 10:04:03 | epoch=1/1 shard=droid_train_0626.hdf5 samples=9327
[train-sharded:train] 628/1197 shards | elapsed 11:05:27 | rate 0.02/shard/s | remaining 10:02:56 | epoch=1/1 shard=droid_train_0627.hdf5 samples=8683
[train-sharded:train] 629/1197 shards | elapsed 11:06:26 | rate 0.02/shard/s | remaining 10:01:48 | epoch=1/1 shard=droid_train_0628.hdf5 samples=9003
[train-sharded:train] 630/1197 shards | elapsed 11:07:19 | rate 0.02/shard/s | remaining 10:00:35 | epoch=1/1 shard=droid_train_0629.hdf5 samples=8678
[train-sharded:train] 631/1197 shards | elapsed 11:08:06 | rate 0.02/shard/s | remaining 09:59:16 | epoch=1/1 shard=droid_train_0630.hdf5 samples=7685
[train-sharded:train] 632/1197 shards | elapsed 11:09:11 | rate 0.02/shard/s | remaining 09:58:14 | epoch=1/1 shard=droid_train_0631.hdf5 samples=9315
[train-sharded:train] 633/1197 shards | elapsed 11:10:10 | rate 0.02/shard/s | remaining 09:57:07 | epoch=1/1 shard=droid_train_0632.hdf5 samples=9275
[train-sharded:train] 634/1197 shards | elapsed 11:11:21 | rate 0.02/shard/s | remaining 09:56:10 | epoch=1/1 shard=droid_train_0633.hdf5 samples=10084
[train-sharded:train] 635/1197 shards | elapsed 11:12:15 | rate 0.02/shard/s | remaining 09:54:58 | epoch=1/1 shard=droid_train_0634.hdf5 samples=8695
[train-sharded:train] 636/1197 shards | elapsed 11:13:11 | rate 0.02/shard/s | remaining 09:53:48 | epoch=1/1 shard=droid_train_0635.hdf5 samples=8515
[train-sharded:train] 637/1197 shards | elapsed 11:14:17 | rate 0.02/shard/s | remaining 09:52:47 | epoch=1/1 shard=droid_train_0636.hdf5 samples=9518
[train-sharded:train] 638/1197 shards | elapsed 11:15:26 | rate 0.02/shard/s | remaining 09:51:48 | epoch=1/1 shard=droid_train_0637.hdf5 samples=9416
[train-sharded:train] 639/1197 shards | elapsed 11:16:29 | rate 0.02/shard/s | remaining 09:50:44 | epoch=1/1 shard=droid_train_0638.hdf5 samples=9303
[train-sharded:train] 640/1197 shards | elapsed 11:17:37 | rate 0.02/shard/s | remaining 09:49:44 | epoch=1/1 shard=droid_train_0639.hdf5 samples=9521
[train-sharded:train] 641/1197 shards | elapsed 11:18:40 | rate 0.02/shard/s | remaining 09:48:40 | epoch=1/1 shard=droid_train_0640.hdf5 samples=9529
